0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
43.558.790.960.204;215.406.192.666.787;192.856.183.464.496;230.229.158.329.878;NaN;0;0;NaN;150.806.371.641.335;133.228.539.448.226;0;0;0;387.980.884.510.589;0.17182363487373;0;996.074.679.535.771;471;0;0.93026313547564;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;421;13;normal_00013;normal;0
40.593.372.317.259;207.944.693.535.901;186.175.798.710.969;222.254.203.461.982;NaN;0;0;NaN;150.816.088.573.571;133.242.698.199.943;0;0;0;39.239.872.548.277;0.171851160885988;0;996.355.820.413.566;463;0;0.853722483369735;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;413;14;normal_00014;normal;0
314.147.212.311.348;182.930.820.073.298;163.780.527.201.186;19.551.902.485.561;NaN;0;0;NaN;150.777.116.418.571;133.190.312.170.125;0;0;0;37.542.617.629.582;0.171738343947528;0;985.411.738.795.008;459;0;0.935240256389675;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;409;15;normal_00015;normal;0
404.661.326.837.333;207.618.537.178.583;185.883.786.352.799;221.905.602.975.154;0.000766638817206289;1;284.649.000.251.325;NaN;164.509.390.252.056;140.046.413.983.539;140.549.993.995.278;319.855.670.332.654;12.829.698.217.641;490.722.722.971.532;0.210255625941216;0.0140082776346891;954.304.298.134.242;496;0;102.804.700.441.743;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;446;16;normal_00016;normal;0
38.739.474.661.344;203.140.791.245.903;18.187.479.765.842;217.119.725.352.357;7,90E+09;1;276.181.004.695.296;NaN;162.211.348.652.977;137.590.044.876.839;585.168.916.753.462;146.031.923.650.195;121.257.374.054.391;447.190.077.422.842;0.206919380998929;0.0117463356450884;954.870.901.022.415;457;0;0.971600488569106;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;407;17;normal_00017;normal;0
308.342.919.877.345;181.232.994.589.872;162.260.440.248.863;193.704.365.178.462;NaN;0;0;NaN;150.825.487.779.244;133.257.307.512.641;0;0;0;39.682.153.877.368;0.171877139782519;0;991.831.167.937.384;451;0;0.859927913322683;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;401;18;normal_00018;normal;0
318.519.848.224.633;184.199.533.620.117;164.916.424.222.158;196.875.043.679.532;0.00097672556431494;1;277.848.696.954.855;NaN;163.257.430.811.965;1.382.727.189.663;445.452.557.749.165;102.702.743.271.916;100.597.165.114.402;457.331.771.253.637;0.209880131160311;0.0128087649442162;964.531.742.169.467;499;0;0.976503018626663;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;449;19;normal_00019;normal;0
29.076.285.095.869;175.990.706.793.637;157.566.946.508.094;188.101.334.494.395;NaN;0;0;NaN;150.784.099.168.153;13.319.893.088.183;0;0;0;378.335.037.613.444;0.171758925681616;0;988.089.904.835.669;493;0;0.891589262576337;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;443;20;normal_00020;normal;0
489.936.385.622.852;228.449.453.354.635;204.533.997.574.891;244.169.978.196.118;9,98E+09;1;294.386.447.214.849;NaN;164.890.551.738.323;139.349.373.813.694;295.923.508.286.577;763.095.495.838.576;146.947.118.059.775;492.968.948.285.521;0.214209865615165;0.0144132043788084;975.034.057.540.579;464;0;103.440.966.460.773;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;414;21;normal_00021;normal;0
487.260.835.453.893;227.824.816.402.575;203.974.751.356.694;24.350.235.746.547;0.000810062830676195;1;274.465.427.504.446;NaN;162.897.488.376.289;13.784.568.024.161;562.509.680.001.799;144.740.258.276.484;149.633.675.843.078;447.052.343.548.433;0.209049965668877;0.0124640195132844;974.156.899.253.232;486;0;101.756.123.724.962;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;436;22;normal_00022;normal;0
454.047.670.969.735;219.923.177.851.273;196.900.303.611;23.505.697.541.507;0.000213888918839;1;279.489.057.675.071;NaN;163.765.763.193.266;138.116.061.329.545;748.999.536.446.378;178.877.212.112.181;109.929.600.684.749;455.421.553.505.255;0.211776566292583;0.0133483324107417;967.014.829.405.621;457;0;100.114.792.886.117;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;407;23;normal_00023;normal;0
327.912.848.378.167;186.895.778.995.007;167.330.410.497.332;199.756.828.532.728;NaN;0;0;NaN;150.810.318.753.219;133.234.185.908.444;0;0;0;389.758.054.992.869;0.171834884416176;0;996.515.139.257.636;460;0;0.979444596434369;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;410;24;normal_00024;normal;0
335.677.569.829.722;189.095.606.049.209;16.929.994.649.211;202.108.034.525.881;0.00086564241233944;1;295.646.257.639.718;NaN;163.373.394.090.623;138.569.579.808.471;335.398.606.628.855;748.188.291.928.521;125.913.289.349.186;485.959.011.800.735;0.209888750058819;0.0128513202874834;996.331.136.317.179;495;0;102.673.680.437.941;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;445;25;normal_00025;normal;0
367.951.679.848.689;197.977.424.961.339;177.251.963.453.228;211.601.047.086.301;NaN;0;0;NaN;150.757.568.169.977;133.167.528.095.325;0;0;0;367.523.280.166.678;0.171680317746358;0;96.416.142.540.184;467;0;0.875197159372824;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;417;26;normal_00026;normal;0
434.383.065.918.418;215.108.077.751.039;192.589.277.001.996;229.910.528.928.891;NaN;0;0;NaN;150.807.234.763.095;133.229.762.543.742;0;0;0;388.367.560.310.723;0.171826102014333;0;975.306.342.626.221;485;0;0.924244214620111;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;435;27;normal_00027;normal;0
389.977.458.013.444;203.816.823.244.751;182.480.058.582.369;217.842.277.829.479;NaN;0;0;NaN;150.759.863.450.665;133.170.110.696.126;0;0;0;368.434.407.173.637;0.171687153053648;0;97.466.432.471.402;481;0;0.866244175367993;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;431;28;normal_00028;normal;0
435.447.658.622.078;215.371.511.536.788;19.282.513.296.271;230.192.090.651.967;0.000973011955492931;1;283.536.206.395.101;NaN;165.595.752.531.529;139.755.037.958.517;299.290.514.121.377;694.171.883.019.371;106.443.042.485.593;481.983.838.222.461;0.216032862717804;0.0151771060643006;968.367.189.436.685;483;0;100.340.424.361.636;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;433;29;normal_00029;normal;0
365.606.328.165.345;197.345.454.796.176;176.686.151.706.557;210.925.588.514.689;NaN;0;0;NaN;150.791.747.757.152;133.208.708.631.846;0;0;0;381.580.419.389.843;0.171781336708042;0;986.182.452.070.266;496;0;0.854058355842889;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;446;30;normal_00030;normal;0
445.136.756.021.013;217.754.432.705.256;194.958.595.684.269;232.738.990.201.098;0.000316881203175967;1;288.173.728.886.281;NaN;161.481.436.506.914;13.712.296.425.899;649.365.901.134.279;16.983.559.036.902;124.156.901.590.641;456.633.276.018.239;0.204654735267642;0.0109596654592748;980.973.777.900.071;466;0;0.991895697545842;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;416;31;normal_00031;normal;0
414.317.165.144.371;210.080.982.304.957;188.088.447.988.492;224.537.498.845.276;0.000820490516286743;1;268.679.423.951.171;NaN;163.106.810.571.487;138.186.932.350.606;417.912.851.023.966;102.207.976.847.039;126.356.414.155.354;444.061.784.450.339;0.209422804956413;0.0126894521806746;979.190.588.464.572;455;0;102.643.862.620.473;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;405;32;normal_00032;normal;0
436.123.547.422.126;215.538.593.328.541;192.974.723.632.714;23.037.067.001.318;NaN;0;0;NaN;150.827.621.359.172;133.260.767.673.121;0;0;0;397.848.606.826.621;0.171882923441113;0;955.091.711.787.813;466;0;0.90196200374341;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;416;33;normal_00033;normal;0
400.983.407.920.871;206.672.873.358.616;185.037.120.280.198;220.894.864.227.867;NaN;0;0;NaN;150.817.833.517.126;133.245.337.402.662;0;0;0;393.207.984.732.562;0.171856038485096;0;990.633.294.746.111;481;0;0.991073789190282;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;431;34;normal_00034;normal;0
356.439.837.727.088;194.855.825.792.397;174.457.151.964.408;208.264.638.135.326;NaN;0;0;NaN;150.831.748.327.581;133.267.629.614.852;0;0;0;399.861.992.050.646;0.171893966852337;0;958.451.652.020.148;463;0;0.881858567259253;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;413;35;normal_00035;normal;0
358.756.083.925.011;19.548.791.453.048;175.023.069.871.077;208.940.223.439.337;NaN;0;0;NaN;150.760.759.024.948;133.171.124.627.887;0;0;0;368.791.055.568.729;0.1716898188363;0;956.804.930.835.902;469;0;0.876147444770782;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;419;36;normal_00036;normal;0
326.547.625.564.541;186.506.314.976.766;166.981.717.903.007;199.340.563.930.448;NaN;0;0;NaN;150.816.402.850.636;133.243.171.228.647;0;0;0;392.544.101.390.319;0.171852041025218;0;957.756.669.773.811;488;0;0.899898712921421;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;438;37;normal_00037;normal;0
336.645.008.971.787;189.367.901.381.842;169.543.736.319.954;20.239.906.759.449;NaN;0;0;NaN;150.805.688.812.326;133.227.576.325.267;0;0;0;387.675.731.181.315;0.171821680380242;0;989.761.334.151.494;473;0;0.849822223176866;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;423;38;normal_00038;normal;0
339.961.965.226.117;190.298.533.617.861;170.376.944.404.762;203.393.740.374.139;0.000681298146220755;1;273.775.999.674.137;NaN;163.533.170.561.512;138.210.219.980.083;560.787.001.360.316;134.250.337.573.617;136.700.706.725.091;450.064.600.336.758;0.21092921469488;0.0131191623203333;966.816.028.209.859;482;0;0.991658516808921;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;432;39;normal_00039;normal;0
330.119.727.782.288;187.523.636.071.574;167.892.539.738.134;200.427.890.977.591;NaN;0;0;NaN;150.802.490.003.822;133.223.115.806.094;0;0;0;386.254.836.174.919;0.171812494189499;0;961.676.297.761.517;485;0;0.881237796860112;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;435;40;normal_00040;normal;0
455.889.457.854.885;220.368.771.696.825;197.299.250.026.442;23.553.323.236.362;NaN;0;0;NaN;150.792.196.178.077;133.209.293.634.051;0;0;0;381.772.731.493.711;0.171782645464562;0;978.973.307.404.023;470;0;0.942256709580964;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;420;41;normal_00041;normal;0
400.028.977.920.358;206.426.763.040.541;184.816.774.262.901;220.631.818.069.884;NaN;0;0;NaN;150.775.138.447.432;133.187.920.224.831;0;0;0;374.610.958.081.758;0.171732496676038;0;981.165.092.083.812;451;0;0.964662302380013;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;401;42;normal_00042;normal;0
313.715.851.236.988;182.805.184.163.579;16.366.804.361.028;195.384.743.434.111;NaN;0;0;NaN;150.792.864.371.947;133.210.167.869.613;0;0;0;382.059.732.161.463;0.171784594476711;0;994.079.763.605.028;473;0;0.85375312627792;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;423;43;normal_00043;normal;0
311.541.002.352.569;182.170.429.659.951;163.099.739.006.355;194.706.308.922.518;NaN;0;0;NaN;150.806.090.789.405;133.228.142.832.914;0;0;0;387.855.293.045.538;0.171822831263092;0;961.078.089.324.652;497;0;0.928560565201626;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;447;44;normal_00044;normal;0
441.734.148.559.703;216.920.583.107.072;194.212.038.451.637;231.847.760.061.486;NaN;0;0;NaN;150.817.478.928.556;133.244.798.540.719;0;0;0;39.304.311.928.194;0.171855049142185;0;95.951.028.215.952;466;0;0.931137816780771;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;416;45;normal_00045;normal;0
3.740.363.003.281;199.607.636.598.266;178.711.514.781.093;213.343.440.136.486;NaN;0;0;NaN;150.786.114.790.167;133.201.471.924.051;0;0;0;379.184.065.410.841;0.171764846629069;0;983.221.398.170.045;484;0;0.979054254350285;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;434;46;normal_00046;normal;0
414.657.843.131.241;210.167.335.545.722;188.165.761.255.291;224.629.794.399.523;NaN;0;0;NaN;150.785.518.772.337;133.200.717.960.462;0;0;0;378.932.556.782.535;0.171763096846291;0;955.373.256.322.491;469;0;0.926349201174846;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;419;47;normal_00047;normal;0
328.062.184.384.586;186.938.331.600.727;167.368.508.441.658;199.802.309.354.233;NaN;0;0;NaN;150.787.310.266.872;133.202.990.833.805;0;0;0;379.689.693.543.918;0.171768353570414;0;992.280.050.090.971;471;0;0.889241698021722;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;421;48;normal_00048;normal;0
353.890.536.505.813;19.415.775.906.435;173.832.163.038.565;207.518.534.630.749;0.000768186799743997;1;275.203.419.785.634;NaN;163.234.835.676.088;138.114.636.874.093;543.540.286.557.875;13.420.200.795.949;14.594.607.451.581;451.332.299.080.975;0.209987647251965;0.0128034213006919;952.425.483.898.612;475;0;0.963970600071535;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;425;49;normal_00049;normal;0
374.974.734.986.171;199.857.881.532.158;178.935.562.577.882;213.610.905.429.813;0.000305862909840915;1;296.441.898.702.572;NaN;163.496.616.465.216;138.390.588.958.803;386.830.411.403.258;107.150.230.035.728;108.252.915.846.138;483.414.080.852.883;0.210650444050306;0.0129886777916585;971.725.944.516.418;460;0;0.995178407969889;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;410;50;normal_00050;normal;0
388.104.852.197.075;203.326.887.427.731;182.041.412.178.367;217.318.627.560.229;NaN;0;0;NaN;150.767.696.177.744;133.179.102.295.952;0;0;0;371.576.192.821.129;0.171710440756973;0;995.167.731.876.895;492;0;0.874089336565727;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;442;51;normal_00051;normal;0
35.522.481.178.219;194.523.431.703.867;174.159.554.878.055;207.909.370.673.938;0.000679451421313981;1;286.022.130.821.852;NaN;163.428.689.982.061;137.716.226.981.842;898.305.776.933.959;249.378.635.258.422;12.334.608.652.737;45.815.132.779.754;0.210644599619287;0.0129898352756832;955.475.118.783.549;458;0;0.996774516355365;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;408;52;normal_00052;normal;0
426.443.896.408.162;213.133.259.918.748;190.821.194.917.363;227.799.815.946.343;0.000799087517529218;1;283.829.827.887.037;NaN;165.470.720.893.091;140.465.918.539.733;117.353.106.129.937;30.688.395.062.544;131.550.852.422.743;493.537.665.368.175;0.213194006867213;0.0150036392788777;99.503.936.253.138;459;0;102.666.700.570.348;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;409;53;normal_00053;normal;0
281.814.537.959.578;173.261.461.259.584;155.123.414.727.886;185.184.278.608.483;NaN;0;0;NaN;15.081.865.215.869;133.246.586.532.766;0;0;0;393.589.434.303.176;0.171858318914749;0;955.726.403.626.663;476;0;0.848228062716208;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;426;54;normal_00054;normal;0
34.710.559.427.359;19.228.751.317.762;172.157.705.682.491;205.519.589.609.527;0.000945593706140446;1;29.673.901.354.262;NaN;164.710.776.288.088;139.095.379.209.649;411.453.254.650.789;888.364.296.807.444;103.431.069.559.761;492.395.171.464.836;0.214042775813921;0.0142293940952664;977.821.042.505.179;472;0;0.991942546459113;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;422;55;normal_00055;normal;0
344.985.273.284.624;191.699.312.065.837;171.631.080.982.785;204.890.912.015.731;NaN;0;0;NaN;150.819.085.881.352;133.247.251.220.944;0;0;0;393.791.999.184.198;0.171859524986131;0;977.754.734.718.496;459;0;0.874393513704739;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;409;56;normal_00056;normal;0
371.576.470.226.643;198.950.199.341.058;178.122.901.989.962;212.640.761.979.893;NaN;0;0;NaN;150.786.535.519.707;133.202.005.466.925;0;0;0;3.793.618.363;0.171766081262818;0;980.265.921.986.791;458;0;0.868283243692421;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;408;57;normal_00057;normal;0
325.967.095.092.408;186.340.457.449.871;16.683.322.333.449;199.163.293.080.677;NaN;0;0;NaN;150.779.020.664.134;133.192.635.108.882;0;0;0;376.214.590.637.733;0.171743966560793;0;985.443.062.893.337;462;0;0.857104606969801;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;412;58;normal_00058;normal;0
302.372.156.851.012;179.469.715.808.125;160.681.752.041.149;191.819.748.098.532;NaN;0;0;NaN;150.810.705.228.212;133.234.746.239.376;0;0;0;38.993.330.707.582;0.171835981191849;0;97.994.647.562.329;490;0;0.871931534561273;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;440;59;normal_00059;normal;0
372.941.875.263.942;199.315.398.072.176;17.844.986.953.262;213.031.091.503.142;NaN;0;0;NaN;150.787.333.848.791;133.203.020.885.516;0;0;0;379.699.683.213.874;0.171768422710788;0;982.164.430.870.902;451;0;0.904096963957282;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;401;60;normal_00060;normal;0
30.492.684.642.511;180.226.275.310.662;161.359.110.367.837;192.628.369.500.447;NaN;0;0;NaN;150.831.170.681.448;133.266.655.163.857;0;0;0;399.577.979.697.456;0.171892433373129;0;988.462.927.896.913;452;0;0.884512031408965;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;402;61;normal_00061;normal;0
294.715.653.161.391;177.182.929.416.592;158.634.360.132.821;189.375.598.746.627;NaN;0;0;NaN;150.791.320.119.262;133.208.151.999.042;0;0;0;381.397.237.661.698;0.171780088030985;0;969.563.504.160.356;486;0;0.867882194827734;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;436;62;normal_00062;normal;0
438.124.950.980.233;216.032.588.589.806;193.417.004.514.046;230.898.659.073.345;NaN;0;0;NaN;15.078.102.990.651;133.195.108.133.393;0;0;0;377.050.374.692.807;0.171749891509378;0;974.377.822.908.448;473;0;0.944429982981887;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;423;63;normal_00063;normal;0
